,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
720,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,7550
716,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,6768
814,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,5588
684,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,5475
740,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,4929
760,water,E-U10LS,Zumaia (Puente Narrondo). Low Tide. Surface,43.2963,-2.2563,29,4133
786,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,4132
700,water,E-M10LS,Pobeña (puente). Low Tide. Surface,43.3469,-3.1216,29,4126
728,water,E-O10LS,Orio (Puente de La Autopista). Low Tide. Surface,43.2826,-2.1316,29,4111
748,water,E-OK10LS,Murueta (Astillero). Low Tide. Surface,43.3647,-2.6841,29,4109
672,water,E-BI10LS,Irun (Amute). Low Tide. Surface,43.3522,-1.7913,29,4109
794,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,4107
692,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,4102
660,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,4100
772,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,4087
652,water,E-A10LS,Ondarroa (Embarcadero). Low Tide. Surface,43.3199,-2.421,28,4080
784,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,4058
752,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,3767
744,water,E-OI20LS,Pasaia (San Pedro). Low Tide. Surface,43.3263,-1.9212,29,3312
724,water,E-N30LS,Abra Exterior. Low Tide. Surface,43.3604,-3.0453,28,3201
708,water,E-N10LS,Bilbao (Puente de Deusto). Low Tide. Surface,43.2697,-2.939,29,3189
736,water,E-OI10LS,Lezo. Low Tide. Surface,43.3228,-1.9038,29,2972
792,water,L-N10S,Litoral del Abra (Frente al Superpuerto). Surface,43.3826,-3.082,28,2926
796,water,L-O10S,Litoral de Orio. Surface,43.3054,-2.1356,28,2890
788,water,L-L10S,Litoral de Elantxobe (Kai Arri). Surface,43.4026,-2.5851,28,2884
800,water,L-OI10S,Litoral de Pasaia. Surface,43.3376,-1.9324,28,2854
812,water,L-U10S,Litoral de Zumaia. Surface,43.3172,-2.2426,28,2847
676,water,E-BI20LS,Hondarribia (Txingudi). Low Tide. Surface,43.3697,-1.7901,29,2841
804,water,L-OK10S,Litoral de Mundaka. Surface,43.4409,-2.7016,28,2816
780,water,L-B10S,Litoral de Gorliz (Cabo Villano). Surface,43.4371,-2.9553,28,2811
782,water,L-B20S,Litoral de Bakio. Surface,43.4474,-2.8033,28,2809
778,water,L-A10S,Litoral de Ondarroa. Surface,43.3359,-2.4025,26,2574
712,water,E-N15LS,Barakaldo (Puente de Rontegi). Low Tide. Surface,43.2951,-2.974,21,2522
588,phytoplankton,L-OI10,Litoral de Pasaia,43.3376,-1.9324,21,2409
585,phytoplankton,L-N20,Litoral de Sopelana,43.3992,-3.0206,21,2396
718,water,E-N20HS,Abra Interior. High Tide. Surface,43.3382,-3.027,28,2359
722,water,E-N30HS,Abra Exterior. High Tide. Surface,43.3604,-3.0453,28,2357
734,water,E-OI10HS,Lezo. High Tide. Surface,43.3228,-1.9038,29,2334
742,water,E-OI20HS,Pasaia (San Pedro). High Tide. Surface,43.3263,-1.9212,29,2330
706,water,E-N10HS,Bilbao (Puente de Deusto). High Tide. Surface,43.2697,-2.939,29,2330
596,phytoplankton,L-UR20,Litoral de Mompás,43.3389,-1.9548,21,2326
790,water,L-L20S,Litoral de Lekeitio. Surface,43.3729,-2.4896,21,2249
682,water,E-D10HS,Deba (Puente). High Tide. Surface,43.2925,-2.3572,29,2247
758,water,E-U10HS,Zumaia (Puente Narrondo). High Tide. Surface,43.2963,-2.2563,29,2247
746,water,E-OK10HS,Murueta (Astillero). High Tide. Surface,43.3647,-2.6841,29,2245
726,water,E-O10HS,Orio (Puente de La Autopista). High Tide. Surface,43.2826,-2.1316,29,2244
698,water,E-M10HS,Pobeña (puente). High Tide. Surface,43.3469,-3.1216,29,2242
670,water,E-BI10HS,Irun (Amute). High Tide. Surface,43.3522,-1.7913,29,2242
770,water,E-UR10HS,Donostia (Puente de Santa Catalina). High Tide. Surface,43.3171,-1.9782,29,2229
798,water,L-O20S,Litoral de Getaria. Surface,43.3156,-2.1801,21,2224
802,water,L-OI20S,Litoral de Pasaia (Asabaratza). Surface,43.3601,-1.8918,21,2222
591,phytoplankton,L-RF10,Litoral Oiartzun - Plataforma,43.4534,-1.918,21,2216
658,water,E-B10HS,Plentzia (Puerto). High Tide. Surface,43.4076,-2.9463,28,2210
674,water,E-BI20HS,Hondarribia (Txingudi). High Tide. Surface,43.3697,-1.7901,29,2208
690,water,E-L10HS,Lekeitio (Molino). High Tide. Surface,43.3602,-2.4989,29,2206
806,water,L-RF10S,Litoral Oiartzun - Plataforma. Surface,43.4534,-1.918,21,2197
650,water,E-A10HS,Ondarroa (Embarcadero). High Tide. Surface,43.3199,-2.421,28,2194
756,water,E-OK5LS,Forua (Salida de la Depuradora). Low Tide. Surface,43.3405,-2.6662,21,2161
696,water,E-L5LS,Lekeitio (Astillero). Low Tide. Surface,43.3569,-2.5047,21,2155
768,water,E-U8LS,Zumaia (Puente del Ferrocarril). Low Tide. Surface,43.292,-2.245,21,2154
590,phytoplankton,L-OK10,Litoral de Mundaka,43.4409,-2.7016,21,2151
668,water,E-B7LS,Plentzia (Campo de fútbol). Low Tide. Surface,43.3979,-2.9442,21,2151
704,water,E-M5LS,Muskiz (Petronor). Low Tide. Surface,43.3322,-3.1125,21,2130
680,water,E-BI5LS,Irun (Behobia). Low Tide. Surface,43.344,-1.7621,21,2129
732,water,E-O5LS,Orio (Rampa). Low Tide. Surface,43.2759,-2.1202,21,2128
656,water,E-A5LS,Ondarroa (Errenteria). Low Tide. Surface,43.3221,-2.4433,21,2127
776,water,E-UR5LS,Donostia (Loiola). Low Tide. Surface,43.3142,-1.9691,21,2127
764,water,E-U5LS,Zumaia (Bedua). Low Tide. Surface,43.2791,-2.252,21,2126
688,water,E-D5LS,Deba (Campo de fútbol). Low Tide. Surface,43.2934,-2.3639,21,2126
664,water,E-B5LS,Plentzia (Abaniko). Low Tide. Surface,43.3963,-2.9241,21,2107
750,water,E-OK20HS,Sukarrieta (Txatxarramendi). High Tide. Surface,43.3936,-2.6943,26,1911
577,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,1905
580,phytoplankton,L-BI10,Litoral de Hondarribia,43.3967,-1.8021,17,1821
584,phytoplankton,L-N10,Litoral del Abra (Frente al Superpuerto),43.3826,-3.082,17,1800
