year,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value,cumulative_value
2021.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,377,6022
2021.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,377,6804
2023.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,376,6768
2023.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,376,7550
2016.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,376,4944
2019.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,376,5279
2016.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,376,4162
2019.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,376,6061
2014.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,375,3412
2017.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,375,5319
2014.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,375,4194
2017.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,375,4537
2015.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,374,4568
2015.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,374,3786
2013.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,373,3819
2013.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,373,3037
2022.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,370,6392
2022.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,370,7174
2020.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,366,6427
2018.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,366,4903
2018.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,366,5685
2020.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,366,5645
2011.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,363,3084
2011.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,363,2302
2012.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,362,3446
2012.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,362,2664
2010.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,353,1939
2010.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,353,2721
