,year,taxagroup,value,cumulative_value
0,1989.0,fish,13,13
1,1990.0,fish,31,44
2,1991.0,fish,36,80
3,1992.0,fish,26,106
4,1993.0,fish,30,136
5,1994.0,biota,341,341
6,1994.0,fish,58,194
7,1994.0,sediments,78,78
8,1994.0,water,602,602
9,1995.0,biota,433,774
10,1995.0,fish,69,263
11,1995.0,invertebrates,606,606
12,1995.0,sediments,2304,2382
13,1995.0,water,4517,5119
14,1996.0,biota,1302,2076
15,1996.0,fish,68,331
16,1996.0,invertebrates,771,1377
17,1996.0,sediments,2798,5180
18,1996.0,water,6642,11761
19,1997.0,biota,876,2952
20,1997.0,fish,78,409
21,1997.0,invertebrates,461,1838
22,1997.0,sediments,2447,7627
23,1997.0,water,5057,16818
24,1998.0,biota,832,3784
25,1998.0,fish,47,456
26,1998.0,invertebrates,559,2397
27,1998.0,sediments,1220,8847
28,1998.0,water,5165,21983
29,1999.0,biota,754,4538
30,1999.0,fish,61,517
31,1999.0,invertebrates,330,2727
32,1999.0,sediments,1128,9975
33,1999.0,water,5002,26985
34,2000.0,biota,884,5422
35,2000.0,fish,77,594
36,2000.0,invertebrates,504,3231
37,2000.0,sediments,1172,11147
38,2000.0,water,4956,31941
39,2001.0,biota,857,6279
40,2001.0,fish,73,667
41,2001.0,invertebrates,373,3604
42,2001.0,sediments,1222,12369
43,2001.0,water,4981,36922
44,2002.0,biota,369,6648
45,2002.0,fish,107,774
46,2002.0,invertebrates,625,4229
47,2002.0,macroalgae,675,675
48,2002.0,phytoplankton,1466,1466
49,2002.0,sediments,1966,14335
50,2002.0,water,9768,46690
51,2003.0,biota,416,7064
52,2003.0,fish,140,914
53,2003.0,invertebrates,716,4945
54,2003.0,macroalgae,735,1410
55,2003.0,phytoplankton,1345,2811
56,2003.0,sediments,2008,16343
57,2003.0,water,8466,55156
58,2004.0,biota,416,7480
59,2004.0,fish,94,1008
60,2004.0,invertebrates,766,5711
61,2004.0,macroalgae,978,2388
62,2004.0,phytoplankton,624,3435
63,2004.0,sediments,2000,18343
64,2004.0,water,11204,66360
65,2005.0,biota,429,7909
66,2005.0,fish,148,1156
67,2005.0,invertebrates,938,6649
68,2005.0,macroalgae,809,3197
69,2005.0,phytoplankton,1005,4440
70,2005.0,sediments,2384,20727
71,2005.0,water,11863,78223
72,2006.0,biota,429,8338
73,2006.0,fish,114,1270
74,2006.0,invertebrates,954,7603
75,2006.0,macroalgae,847,4044
76,2006.0,phytoplankton,1636,6076
77,2006.0,sediments,2499,23226
78,2006.0,water,12239,90462
79,2007.0,biota,403,8741
80,2007.0,fish,103,1373
81,2007.0,invertebrates,861,8464
82,2007.0,macroalgae,1296,5340
83,2007.0,phytoplankton,1964,8040
84,2007.0,sediments,2380,25606
85,2007.0,water,10139,100601
86,2008.0,biota,429,9170
87,2008.0,fish,265,1638
88,2008.0,invertebrates,777,9241
89,2008.0,macroalgae,871,6211
90,2008.0,phytoplankton,2965,11005
