,year,taxagroup,taxaname,value
0,1989.0,fish,Anguilla anguilla,1
1,1989.0,fish,Carcinus maenas,2
2,1989.0,fish,Crangon crangon,2
3,1989.0,fish,Gobius niger,2
4,1989.0,fish,Mullus surmuletus,1
5,1989.0,fish,Necora puber,1
6,1989.0,fish,Palaemon sp.,1
7,1989.0,fish,Pisidia longicornis,1
8,1989.0,fish,Pomatoschistus minutus,2
9,1990.0,fish,Anguilla anguilla,2
10,1990.0,fish,Carcinus maenas,5
11,1990.0,fish,Chelon labrosus,3
12,1990.0,fish,Crangon crangon,3
13,1990.0,fish,Dicentrarchus labrax,1
14,1990.0,fish,Diplodus sargus,1
15,1990.0,fish,Gobius niger,4
16,1990.0,fish,Liocarcinus depurator,1
17,1990.0,fish,Macropodia rostrata,1
18,1990.0,fish,Mullus surmuletus,1
19,1990.0,fish,Palaemon serratus,2
20,1990.0,fish,Platichthys flesus,2
21,1990.0,fish,Pomatoschistus minutus,3
22,1990.0,fish,Solea solea,1
23,1990.0,fish,Trachurus trachurus,1
24,1991.0,fish,Anguilla anguilla,3
25,1991.0,fish,Brachyura,1
26,1991.0,fish,Carcinus maenas,5
27,1991.0,fish,Chelidonichthys lucerna,1
28,1991.0,fish,Chelon labrosus,1
29,1991.0,fish,Crangon crangon,5
30,1991.0,fish,Diplodus sargus,1
31,1991.0,fish,Engraulis encrasicolus,2
32,1991.0,fish,Gobius niger,2
33,1991.0,fish,Liocarcinus holsatus,1
34,1991.0,fish,Macropodia rostrata,1
35,1991.0,fish,Mullus surmuletus,1
36,1991.0,fish,Palaemon elegans,2
37,1991.0,fish,Palaemon serratus,2
38,1991.0,fish,Platichthys flesus,1
39,1991.0,fish,Pomatoschistus minutus,5
40,1991.0,fish,Solea solea,1
41,1991.0,fish,Trisopterus luscus,1
42,1992.0,fish,Anguilla anguilla,3
43,1992.0,fish,Carcinus maenas,4
44,1992.0,fish,Chelon labrosus,1
45,1992.0,fish,Crangon crangon,2
46,1992.0,fish,Diplodus sargus,2
47,1992.0,fish,Gobius niger,1
48,1992.0,fish,Grapsidae,1
49,1992.0,fish,Liocarcinus depurator,1
50,1992.0,fish,Mullus surmuletus,1
51,1992.0,fish,Palaemon elegans,3
52,1992.0,fish,Palaemon serratus,1
53,1992.0,fish,Platichthys flesus,2
54,1992.0,fish,Pomatoschistus minutus,3
55,1992.0,fish,Solea solea,1
56,1993.0,fish,Anguilla anguilla,3
57,1993.0,fish,Callionymus lyra,1
58,1993.0,fish,Carcinus maenas,6
59,1993.0,fish,Crangon crangon,6
60,1993.0,fish,Engraulis encrasicolus,1
61,1993.0,fish,Gobius niger,1
62,1993.0,fish,Liocarcinus depurator,1
63,1993.0,fish,Macropodia rostrata,1
64,1993.0,fish,Palaemon longirostris,2
65,1993.0,fish,Palaemon serratus,1
66,1993.0,fish,Platichthys flesus,1
67,1993.0,fish,Pomatoschistus minutus,5
68,1993.0,fish,Solea solea,1
69,1994.0,fish,Anguilla anguilla,2
70,1994.0,fish,Buglossidium luteum,1
71,1994.0,fish,Carcinus maenas,11
72,1994.0,fish,Ciliata mustela,2
73,1994.0,fish,Crangon crangon,7
74,1994.0,fish,Diplodus sargus,1
75,1994.0,fish,Gammarus crinicornis,1
76,1994.0,fish,Gobius niger,6
77,1994.0,fish,Inachus dorsettensis,1
78,1994.0,fish,Liocarcinus depurator,1
79,1994.0,fish,Macropodia rostrata,2
80,1994.0,fish,Mullus surmuletus,1
81,1994.0,fish,Palaemon elegans,1
82,1994.0,fish,Palaemon serratus,6
83,1994.0,fish,Pilumnus hirtellus,1
84,1994.0,fish,Platichthys flesus,2
85,1994.0,fish,Pomatoschistus minutus,1
86,1994.0,fish,Pomatoschistus sp.,6
87,1994.0,fish,Solea senegalensis,1
88,1994.0,fish,Solea solea,3
89,1994.0,fish,Trachurus trachurus,1
90,1995.0,fish,Anguilla anguilla,2
91,1995.0,fish,Aphia minuta,1
92,1995.0,fish,Atherina presbyter,1
93,1995.0,fish,Carcinus maenas,9
94,1995.0,fish,Chelidonichthys lucerna,1
95,1995.0,fish,Chelon labrosus,1
96,1995.0,fish,Corystes cassivelaunus,1
97,1995.0,fish,Crangon crangon,6
98,1995.0,fish,Diplodus sargus,2
99,1995.0,fish,Gobius niger,8
100,1995.0,fish,Liocarcinus depurator,3
101,1995.0,fish,Liza aurata,1
102,1995.0,fish,Macropodia rostrata,4
103,1995.0,fish,Maja squinado,1
104,1995.0,fish,Mullus surmuletus,3
105,1995.0,fish,Necora puber,2
106,1995.0,fish,Pachygrapsus marmoratus,2
107,1995.0,fish,Palaemon serratus,3
108,1995.0,fish,Palaemon sp.,2
109,1995.0,fish,Pilumnus hirtellus,1
110,1995.0,fish,Pisidia longicornis,1
111,1995.0,fish,Platichthys flesus,1
112,1995.0,fish,Pomatoschistus sp.,7
113,1995.0,fish,Solea solea,3
114,1995.0,fish,Trachurus trachurus,1
115,1995.0,fish,Umbrina cirrosa,1
116,1995.0,fish,Upogebia pusilla,1
117,1995.0,invertebrates,Abarenicola sp.,2
118,1995.0,invertebrates,Abra alba,6
119,1995.0,invertebrates,Abra prismatica,1
120,1995.0,invertebrates,Actinia equina,1
121,1995.0,invertebrates,Actiniidae,1
122,1995.0,invertebrates,Aglaophamus sp.,1
123,1995.0,invertebrates,Alkmaria romijni,2
124,1995.0,invertebrates,Ampelisca armoricana,1
125,1995.0,invertebrates,Ampelisca brevicornis,7
126,1995.0,invertebrates,Ampelisca cf. spooneri,1
127,1995.0,invertebrates,Ampelisca sp.,2
128,1995.0,invertebrates,Ampelisca typica,1
129,1995.0,invertebrates,Ampharete sp.,5
130,1995.0,invertebrates,Amphiura chiajei,3
131,1995.0,invertebrates,Amphiuridae,1
132,1995.0,invertebrates,Anaitides lineata,3
133,1995.0,invertebrates,Anaitides maculata,1
134,1995.0,invertebrates,Anaitides sp.,1
135,1995.0,invertebrates,Anapagurus laevis,1
136,1995.0,invertebrates,Anguilla anguilla,1
137,1995.0,invertebrates,Angulus pygmaeus,1
138,1995.0,invertebrates,Aonides oxycephala,1
139,1995.0,invertebrates,Aora typica,1
140,1995.0,invertebrates,Aricidea fragilis,1
141,1995.0,invertebrates,Armandia cirrhosa,2
142,1995.0,invertebrates,Aspidosiphon muelleri,1
143,1995.0,invertebrates,Bathyporeia elegans,3
144,1995.0,invertebrates,Bathyporeia pelagica,2
145,1995.0,invertebrates,Bathyporeia tenuipes,2
146,1995.0,invertebrates,Bittium reticulatum,1
147,1995.0,invertebrates,Bivalvia,7
148,1995.0,invertebrates,Bodotria scorpioides,5
149,1995.0,invertebrates,Brachyura,3
150,1995.0,invertebrates,Branchiostoma lanceolata,1
151,1995.0,invertebrates,Callianassa subterranea,2
152,1995.0,invertebrates,Capitella capitata,10
153,1995.0,invertebrates,Capitellidae,2
154,1995.0,invertebrates,Caprellidae,4
155,1995.0,invertebrates,Caulleriella alata,3
156,1995.0,invertebrates,Caulleriella bioculata,1
157,1995.0,invertebrates,Caulleriella sp.,1
158,1995.0,invertebrates,Centraloecetes kroyeranus,1
159,1995.0,invertebrates,Centraloecetes striatus,2
160,1995.0,invertebrates,Cerianthus sp.,1
161,1995.0,invertebrates,Chaetopteridae,3
162,1995.0,invertebrates,Chaetozone setosa,6
163,1995.0,invertebrates,Cirratulidae,1
164,1995.0,invertebrates,Cirriformia tentaculata,1
165,1995.0,invertebrates,Cnidaria,2
166,1995.0,invertebrates,Corbula gibba,2
167,1995.0,invertebrates,Corophium multisetosum,1
168,1995.0,invertebrates,Corophium volutator,2
169,1995.0,invertebrates,Corystes cassivelaunus,5
170,1995.0,invertebrates,Cossura pygodactylata,1
171,1995.0,invertebrates,Cumopsis sp.,1
172,1995.0,invertebrates,Cyathura carinata,5
173,1995.0,invertebrates,Cylichna cylindracea,2
174,1995.0,invertebrates,Decapoda,9
175,1995.0,invertebrates,Diastylis bradyi,4
176,1995.0,invertebrates,Diastylis cornuta,1
177,1995.0,invertebrates,Diastylis laevis,5
178,1995.0,invertebrates,Diastylis rugosa,1
179,1995.0,invertebrates,Diastylis sp.,1
180,1995.0,invertebrates,Digitaria digitaria,1
181,1995.0,invertebrates,Diopatra neapolitana,1
182,1995.0,invertebrates,Divaricella divaricata,2
183,1995.0,invertebrates,Dosinia lupinus,1
184,1995.0,invertebrates,Ebalia sp.,1
185,1995.0,invertebrates,Ebalia tuberosa,1
186,1995.0,invertebrates,Echinocardium cordatum,4
187,1995.0,invertebrates,Echinocyamus pusillus,2
188,1995.0,invertebrates,Echinoidea,1
189,1995.0,invertebrates,Echiuroidea,1
190,1995.0,invertebrates,Eocuma dimorphum,1
191,1995.0,invertebrates,Epilepton clarkiae,1
192,1995.0,invertebrates,Eumida sanguinea,1
193,1995.0,invertebrates,Eurydice affinis,1
194,1995.0,invertebrates,Eurydice pulchra,12
195,1995.0,invertebrates,Euspira nitida,3
196,1995.0,invertebrates,Fabulina fabula,4
